team_index,season_id,team_id,team_name,ch_id
285,28,t2812,L,2702
286,28,t2812,L,2224
287,28,t2813,M,3278
288,28,t2813,M,2161
289,28,t2814,N,2174
290,28,t2814,N,2143
291,25,t2501,1,2170
292,25,t2502,3,2172
293,25,t2503,5,2202
294,25,t2504,7,2200
295,25,t2505,9,2204
296,25,t2506,11,2218
297,25,t2507,13,2180
298,25,t2508,15,2214
299,25,t2509,17,2186
300,25,t2510,19,2212
301,25,t2511,21,2210
302,25,t2512,23,2182
303,25,t2513,25,2176
304,25,t2514,27,2178
305,25,t2515,2,2198
306,25,t2516,4,2159
307,25,t2517,6,2196
308,25,t2518,8,2145
309,25,t2519,10,2220
310,25,t2520,12,2208
311,25,t2521,14,2143
312,25,t2522,16,2149
313,25,t2523,18,2222
314,25,t2524,20,2157
315,25,t2525,22,2206
316,25,t2526,24,2216
317,25,t2527,26,2151
318,25,t2528,28,2224
319,25,t2529,Nia Moore,2170
320,25,t2529,Nia Moore,2172
321,25,t2529,Nia Moore,2214
322,25,t2529,Nia Moore,2196
323,25,t2529,Nia Moore,2220
324,25,t2529,Nia Moore,2208
325,25,t2529,Nia Moore,2149
326,25,t2529,Nia Moore,2200
327,25,t2529,Nia Moore,2186
328,25,t2529,Nia Moore,2210
329,25,t2529,Nia Moore,2176
330,25,t2529,Nia Moore,2143
331,25,t2529,Nia Moore,2216
332,25,t2529,Nia Moore,2151
333,25,t2530,Chet Cannon,2202
334,25,t2530,Chet Cannon,2204
335,25,t2530,Chet Cannon,2218
336,25,t2530,Chet Cannon,2180
337,25,t2530,Chet Cannon,2212
338,25,t2530,Chet Cannon,2182
339,25,t2530,Chet Cannon,2178
340,25,t2530,Chet Cannon,2198
341,25,t2530,Chet Cannon,2159
342,25,t2530,Chet Cannon,2145
343,25,t2530,Chet Cannon,2222
344,25,t2530,Chet Cannon,2157
345,25,t2530,Chet Cannon,2206
346,25,t2530,Chet Cannon,2224
347,25,t2531,Brandon Swift,2210
348,25,t2531,Brandon Swift,2145
349,25,t2532,Nany Gonzalez,2178
350,25,t2532,Nany Gonzalez,2143
351,25,t2533,Frank Sweeney,2202
352,25,t2533,Frank Sweeney,2151
353,25,t2534,Emilee Fitzpatrick,2170
354,25,t2534,Emilee Fitzpatrick,2206
355,25,t2535,Cohutta Grindstaff,2214
356,25,t2535,Cohutta Grindstaff,2216
357,25,t2536,Aneesa Ferreira,2220
358,25,t2536,Aneesa Ferreira,2182
359,25,t2537,Johnny Bananas,2172
360,25,t2537,Johnny Bananas,2157
361,25,t2538,Cara Maria Sorbello,2198
362,25,t2538,Cara Maria Sorbello,2186
363,25,t2539,Brandon Nelson,2212
364,25,t2539,Brandon Nelson,2222
365,25,t2540,Jasmine Reynaud,2208
366,25,t2540,Jasmine Reynaud,2176
367,25,t2541,Isaac Stout,2196
368,25,t2541,Isaac Stout,2218
369,25,t2542,Camila Nakagawa,2224
370,25,t2542,Camila Nakagawa,2200
371,25,t2543,Leroy Garrett,2149
372,25,t2543,Leroy Garrett,2180
373,25,t2544,Cara Maria Sorbello,2220
374,25,t2544,Cara Maria Sorbello,2198
375,25,t2544,Cara Maria Sorbello,2170
376,25,t2544,Cara Maria Sorbello,2210
377,25,t2545,Brandon Swift,2172
378,25,t2545,Brandon Swift,2212
379,25,t2545,Brandon Swift,2224
380,25,t2545,Brandon Swift,2149
381,25,t2546,LaToya Jackson,2214
382,25,t2546,LaToya Jackson,2222
383,25,t2546,LaToya Jackson,2143
384,25,t2546,LaToya Jackson,2200
385,25,t2547,Zach Nichols,2196
386,25,t2547,Zach Nichols,2186
387,25,t2547,Zach Nichols,2145
388,25,t2547,Zach Nichols,2182
389,25,t2548,Leroy Garrett,2218
390,25,t2548,Leroy Garrett,2216
391,25,t2548,Leroy Garrett,2180
392,25,t2548,Leroy Garrett,2151
393,25,t2549,Jasmine Reynaud,2208
394,25,t2549,Jasmine Reynaud,2157
395,25,t2549,Jasmine Reynaud,2176
396,25,t2550,Johnny Bananas,2172
397,25,t2550,Johnny Bananas,2170
398,25,t2550,Johnny Bananas,2149
399,25,t2550,Johnny Bananas,2186
400,25,t2550,Johnny Bananas,2157
401,25,t2550,Johnny Bananas,2176
402,25,t2550,Johnny Bananas,2216
403,25,t2550,Johnny Bananas,2143
404,25,t2550,Johnny Bananas,2200
405,25,t2550,Johnny Bananas,2210
406,25,t2550,Johnny Bananas,2145
407,25,t2551,Cara Maria Sorbello,2220
408,25,t2551,Cara Maria Sorbello,2212
409,25,t2551,Cara Maria Sorbello,2224
410,25,t2551,Cara Maria Sorbello,2198
411,25,t2551,Cara Maria Sorbello,2214
412,25,t2551,Cara Maria Sorbello,2196
413,25,t2551,Cara Maria Sorbello,2218
414,25,t2551,Cara Maria Sorbello,2208
415,25,t2551,Cara Maria Sorbello,2222
